,dataset,protected_attribute,bal,RMSDIR,RMSPMI,CBS
0,adult,sex,0.6499049135376587,0.3634695423643793,0.16524674763637112,0.616042569421889
1,adult,race,0.17100633984440072,0.6208468070994738,0.07288597655745413,0.5729890567954735
2,german,sex,0.6200000000000001,0.8965673282047968,0.05469929952710789,0.8206226762258964
3,german,age,0.3799999999999999,0.7948260481712757,0.09407897448894156,0.6935823578941114
4,bank_marketing,age,0.05699997684810043,0.48389176402675266,0.073324261670666,0.48918915973472904
5,KDD_census,sex,0.9704635830891586,0.25818208251471253,0.14678896407855357,0.6939522338417725
6,KDD_census,race,0.20808463773394192,0.5284737049147019,0.08131785261894842,0.5517468300098985
7,ACS_I,RAC1P,0.42349123208226247,0.7200582335693099,0.07732791565283818,0.6887405166662447
8,ACS_I,SEX,0.9440012265862572,0.7497922679386786,0.08541733187837167,0.869458720882188
9,ACS_E,SEX,0.9855787887027245,0.8609103417729262,0.04945442375123065,0.9323449022414735
10,ACS_E,RAC1P,0.4309037118528545,0.9107127835137734,0.026864948450564165,0.7715838489720213
11,ACS_P,RAC1P,0.4790189035699254,0.8438973505117837,0.04721239896772459,0.7585679517046615
12,ACS_P,SEX,0.8820820763023802,0.9148692029367396,0.024451266548682578,0.9241666708968124
13,ACS_M,RAC1P,0.47699958292882194,0.9554575062142393,0.035168653271265345,0.7990961452905987
14,ACS_M,SEX,0.973969550224701,0.9978440558919459,0.001406770049893374,0.9901356120222511
15,ACS_T,SEX,0.9395738168664642,0.8680847236184517,0.04917616542513344,0.9194941250199274
16,ACS_T,RAC1P,0.42377195214790087,0.897563716063136,0.02806016592694745,0.7644251674280298
17,compas,race,0.5658137670303918,0.8728199733850481,0.07385637339012019,0.7882591223417732
18,compas,sex,0.3804118696286687,0.7338609247865511,0.07377743695818398,0.6801651191523453
